sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
2927,68399,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1096.5873,21933,0.8051,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2928,68440,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1097.1872,21945,0.7823,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2929,68491,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1097.1872,21945,0.7513,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2930,68511,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1097.5372,21952,0.8605,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2931,68584,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1098.2372,21966,0.8428,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2932,68608,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1098.5872,21973,0.8593,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2933,68575,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1098.6372,21974,0.8168,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2934,68601,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,1099.0871,21983,0.3682,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2935,68654,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1099.1871,21985,0.429,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2936,68645,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1099.2871,21987,0.6564,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2937,68660,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1099.6371,21994,0.7319,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2938,68680,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,1099.6871,21995,0.7881,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2939,68653,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1099.7371,21996,0.9027,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2940,68608,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1099.8371,21998,0.8352,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2941,68711,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1100.4371,22010,0.8878,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2942,68653,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1100.687,22015,0.8547,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2943,68711,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1101.537,22032,0.814,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2944,68816,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1101.587,22033,0.8772,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2945,68875,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,1102.087,22043,0.6591,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2946,68858,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1102.187,22045,0.8746,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2947,68816,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1102.4869,22051,0.7913,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2948,68870,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1102.4869,22051,0.821,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2949,68944,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,1102.9369,22060,0.8484,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2950,68922,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,opposite,1103.0369,22062,0.8966,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2951,68945,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1103.0869,22063,0.7799,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2952,68858,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1103.1369,22064,0.7266,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
2953,68953,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,opposite,1103.4869,22071,0.6517,bcb4d8c7-4aed-4e4e-833e-2b4f58068251,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,afd7facb-35bc-4467-bcd2-d4cf0fe922a9,ch01_00000000145000000.mp4,
