sequence_no,track_id,vehicle_class,detected_label,vehicle_type_code,vehicle_type_label,golongan_code,golongan_label,source_label,count_line_order,count_line_name,direction,crossed_at_seconds,crossed_at_frame,confidence,video_id,site_id,site_code,site_name,location_description,latitude,longitude,analysis_job_id,video_filename,recorded_at
17,27,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,4.3496,87,0.8574,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
18,29,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,4.5496,91,0.9365,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
19,40,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,5.5495,111,0.5939,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
20,40,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,5.5495,111,0.5939,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
21,27,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,1,Line 1,normal,5.5995,112,0.9018,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
22,29,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,2,Line 2,opposite,6.0495,121,0.9229,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
23,2,truck,6tr_2sumbu,6TR_2sumbu,2-Axle Truck (Jumbo),6,2-Axle Truck,6TR_2sumbu,1,Line 1,normal,6.0995,122,0.653,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
24,14,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,6.7494,135,0.8641,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
25,43,car,2mobil,2mobil,Car / Sedan,2,Sedan / jeep / station wagon,2mobil,1,Line 1,opposite,7.0994,142,0.6428,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
26,67,motorcycle,1motor,1motor,Motorcycle,1,Motorcycle / 3-wheel vehicle,1motor,2,Line 2,normal,7.7994,156,0.6613,68f07a50-7b25-47db-96b8-263fcf33b8a3,e2b5d1af-611f-418e-93d3-019b7b7ef4af,123,lembang,cikatomas pakidulan joszzz,,,4f43699e-717f-4391-a375-4cd67a74805e,ch01_00000000134000000.mp4,
