track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
3889,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.9%,212.881,213.231,0.35,51.4
4047,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.7%,217.381,217.731,0.35,51.4
4102,Car / Sedan,2,Sedan / jeep / station wagon,opposite,40.4%,219.28,219.631,0.35,51.4
4132,Car / Sedan,2,Sedan / jeep / station wagon,opposite,86.2%,220.48,220.88,0.4,45.0
4216,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,63.5%,223.68,224.13,0.45,40.0
4219,Car / Sedan,2,Sedan / jeep / station wagon,opposite,43.0%,223.68,223.98,0.3,60.0
4221,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,54.6%,224.28,224.68,0.4,45.0
4303,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.2%,227.48,228.03,0.55,32.7
4283,Car / Sedan,2,Sedan / jeep / station wagon,opposite,62.5%,227.63,228.08,0.45,40.0
4804,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.9%,246.178,246.628,0.45,40.0
5063,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,82.2%,254.527,254.877,0.35,51.4
5078,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.4%,255.327,255.827,0.5,36.0
5276,Car / Sedan,2,Sedan / jeep / station wagon,opposite,76.9%,260.977,261.477,0.5,36.0
5386,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,73.1%,263.627,264.177,0.55,32.7
5413,Car / Sedan,2,Sedan / jeep / station wagon,opposite,70.3%,264.227,264.577,0.35,51.4
5718,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,72.5%,272.476,272.776,0.3,60.0
5914,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.0%,277.525,278.025,0.5,36.0
6123,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.5%,283.425,283.825,0.4,45.0
6240,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,285.525,285.775,0.25,72.0
6500,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,85.6%,293.074,293.574,0.5,36.0
6647,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,76.8%,296.774,297.124,0.35,51.4
6675,Car / Sedan,2,Sedan / jeep / station wagon,opposite,70.0%,297.824,298.174,0.35,51.4
6924,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,64.2%,305.023,305.473,0.45,40.0
7171,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,60.2%,312.322,312.822,0.5,36.0
7197,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,84.1%,312.772,313.222,0.45,40.0
7233,Car / Sedan,2,Sedan / jeep / station wagon,opposite,35.8%,314.022,314.422,0.4,45.0
7313,Car / Sedan,2,Sedan / jeep / station wagon,opposite,46.5%,315.372,315.822,0.45,40.0
7332,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,41.6%,315.372,315.822,0.45,40.0
7499,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,319.422,319.772,0.35,51.4
7516,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.7%,320.322,320.672,0.35,51.4
8041,Car / Sedan,2,Sedan / jeep / station wagon,opposite,78.5%,335.07,335.67,0.6,30.0
8141,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,337.87,338.52,0.65,27.7
8256,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.7%,340.32,340.82,0.5,36.0
8438,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.3%,346.219,346.519,0.3,60.0
8477,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.4%,348.669,348.969,0.3,60.0
8526,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.0%,349.669,350.119,0.45,40.0
8597,Car / Sedan,2,Sedan / jeep / station wagon,opposite,63.9%,351.569,351.869,0.3,60.0
8623,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,87.8%,352.519,352.919,0.4,45.0
8668,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.6%,353.869,354.169,0.3,60.0
8713,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.9%,355.269,355.868,0.6,30.0
8724,Car / Sedan,2,Sedan / jeep / station wagon,opposite,52.1%,355.318,355.618,0.3,60.0
8830,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,67.0%,357.318,357.668,0.35,51.4
9105,Car / Sedan,2,Sedan / jeep / station wagon,opposite,52.0%,367.267,367.617,0.35,51.4
9231,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.2%,370.717,371.067,0.35,51.4
9286,Car / Sedan,2,Sedan / jeep / station wagon,opposite,71.0%,372.467,372.717,0.25,72.0
9411,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,70.6%,374.267,374.667,0.4,45.0
9549,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.2%,378.916,379.316,0.4,45.0
9797,Car / Sedan,2,Sedan / jeep / station wagon,opposite,53.9%,384.866,385.416,0.55,32.7
9853,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,84.0%,386.016,386.316,0.3,60.0
9860,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.8%,386.766,387.316,0.55,32.7
9903,Car / Sedan,2,Sedan / jeep / station wagon,opposite,73.6%,388.066,388.565,0.5,36.0
9951,Car / Sedan,2,Sedan / jeep / station wagon,opposite,87.8%,388.916,389.216,0.3,60.0
10027,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.6%,390.365,390.615,0.25,72.0
10041,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.9%,391.115,391.615,0.5,36.0
10184,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.5%,395.215,395.515,0.3,60.0
10228,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.5%,396.665,397.015,0.35,51.4
10518,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.6%,404.964,405.364,0.4,45.0
10613,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.8%,406.914,407.264,0.35,51.4
11020,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.7%,420.813,421.313,0.5,36.0
11258,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.3%,428.712,429.062,0.35,51.4
11305,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,430.162,430.462,0.3,60.0
11677,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.2%,441.411,441.961,0.55,32.7
11979,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.7%,448.61,448.81,0.2,90.0
