track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
1963,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,48.8%,118.793,119.243,0.45,40.0
2041,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,55.0%,122.293,122.693,0.4,45.0
2047,Car / Sedan,2,Sedan / jeep / station wagon,opposite,63.0%,122.343,122.793,0.45,40.0
1932,Car / Sedan,2,Sedan / jeep / station wagon,opposite,67.4%,122.943,125.543,2.6,6.9
2118,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.2%,124.743,125.293,0.55,32.7
2139,Car / Sedan,2,Sedan / jeep / station wagon,opposite,67.4%,124.793,125.243,0.45,40.0
2157,Car / Sedan,2,Sedan / jeep / station wagon,normal,51.3%,126.293,126.843,0.55,32.7
2221,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,40.2%,126.993,127.493,0.5,36.0
2209,Car / Sedan,2,Sedan / jeep / station wagon,opposite,71.9%,127.593,128.093,0.5,36.0
2247,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.3%,127.893,128.543,0.65,27.7
2234,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.5%,128.343,128.993,0.65,27.7
2310,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,131.743,132.293,0.55,32.7
2334,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.1%,132.643,133.143,0.5,36.0
2375,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.1%,133.293,133.643,0.35,51.4
2379,Car / Sedan,2,Sedan / jeep / station wagon,opposite,65.3%,134.093,134.643,0.55,32.7
2439,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.2%,136.192,136.593,0.4,45.0
2437,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,53.5%,136.343,136.593,0.25,72.0
2494,Car / Sedan,2,Sedan / jeep / station wagon,opposite,66.5%,138.492,139.142,0.65,27.7
2524,Car / Sedan,2,Sedan / jeep / station wagon,opposite,50.9%,139.242,139.642,0.4,45.0
2596,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.0%,141.142,141.492,0.35,51.4
2636,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,61.4%,142.092,142.692,0.6,30.0
2662,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.7%,142.692,143.142,0.45,40.0
2707,Car / Sedan,2,Sedan / jeep / station wagon,opposite,50.6%,145.342,145.692,0.35,51.4
2755,Car / Sedan,2,Sedan / jeep / station wagon,opposite,43.0%,147.892,148.192,0.3,60.0
2830,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.0%,151.692,152.292,0.6,30.0
2883,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.4%,153.492,153.941,0.45,40.0
2905,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,64.5%,154.142,154.492,0.35,51.4
2928,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.1%,155.841,156.341,0.5,36.0
2911,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.2%,156.041,157.091,1.05,17.1
2980,Car / Sedan,2,Sedan / jeep / station wagon,opposite,47.5%,157.491,157.841,0.35,51.4
3018,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,88.7%,159.091,159.591,0.5,36.0
2974,Car / Sedan,2,Sedan / jeep / station wagon,opposite,93.5%,159.341,163.191,3.85,4.7
3035,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.5%,162.241,164.541,2.3,7.8
3222,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,168.441,170.491,2.05,8.8
3407,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.3%,175.99,177.09,1.1,16.4
3505,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.9%,178.49,178.89,0.4,45.0
3574,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.3%,180.39,180.79,0.4,45.0
3666,Car / Sedan,2,Sedan / jeep / station wagon,opposite,56.2%,184.09,184.54,0.45,40.0
3716,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.8%,185.29,185.69,0.4,45.0
3745,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.4%,186.39,186.89,0.5,36.0
3777,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,57.1%,186.54,186.89,0.35,51.4
3812,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.2%,187.44,187.89,0.45,40.0
3892,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.9%,189.339,189.739,0.4,45.0
3913,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,55.3%,190.04,190.54,0.5,36.0
3929,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,191.04,191.439,0.4,45.0
3937,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.5%,191.889,192.539,0.65,27.7
3978,Car / Sedan,2,Sedan / jeep / station wagon,opposite,53.0%,193.039,193.289,0.25,72.0
4034,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.0%,193.539,194.089,0.55,32.7
4116,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.9%,196.739,197.189,0.45,40.0
4183,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,62.0%,199.739,200.139,0.4,45.0
4268,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,203.789,204.239,0.45,40.0
4391,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,88.7%,209.138,209.588,0.45,40.0
4417,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,66.7%,209.738,210.138,0.4,45.0
4453,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,212.088,212.688,0.6,30.0
4493,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.2%,213.538,213.938,0.4,45.0
4601,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.0%,216.488,216.888,0.4,45.0
4613,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.5%,217.788,218.188,0.4,45.0
4651,Car / Sedan,2,Sedan / jeep / station wagon,opposite,79.5%,218.938,219.288,0.35,51.4
4694,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.1%,221.338,221.838,0.5,36.0
4778,Car / Sedan,2,Sedan / jeep / station wagon,opposite,76.9%,223.738,224.138,0.4,45.0
4892,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,75.8%,227.338,227.687,0.35,51.4
4971,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,74.2%,229.337,229.687,0.35,51.4
5033,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,232.187,232.737,0.55,32.7
5028,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.7%,232.237,232.687,0.45,40.0
5082,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.9%,233.787,234.187,0.4,45.0
5194,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.5%,236.537,237.037,0.5,36.0
5328,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.0%,240.487,240.887,0.4,45.0
5559,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,76.8%,246.886,247.236,0.35,51.4
5532,3-Axle Truck (Jumbo),7,3-Axle Truck,opposite,91.2%,247.386,248.136,0.75,24.0
5589,Car / Sedan,2,Sedan / jeep / station wagon,opposite,72.7%,248.686,249.136,0.45,40.0
5682,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.8%,252.286,253.186,0.9,20.0
5745,Car / Sedan,2,Sedan / jeep / station wagon,opposite,74.1%,252.536,253.036,0.5,36.0
5781,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,51.7%,253.786,254.186,0.4,45.0
5832,Car / Sedan,2,Sedan / jeep / station wagon,opposite,83.8%,255.086,255.486,0.4,45.0
5843,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,84.6%,255.386,255.886,0.5,36.0
5874,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,91.6%,257.886,259.336,1.45,12.4
5984,Car / Sedan,2,Sedan / jeep / station wagon,opposite,82.0%,258.536,258.986,0.45,40.0
5961,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.9%,258.686,260.386,1.7,10.6
6058,Car / Sedan,2,Sedan / jeep / station wagon,opposite,80.4%,260.586,261.086,0.5,36.0
6159,Car / Sedan,2,Sedan / jeep / station wagon,opposite,84.4%,264.335,264.935,0.6,30.0
6218,Car / Sedan,2,Sedan / jeep / station wagon,opposite,54.5%,265.885,266.285,0.4,45.0
6264,Car / Sedan,2,Sedan / jeep / station wagon,opposite,91.8%,267.135,267.735,0.6,30.0
6318,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,78.8%,267.985,268.785,0.8,22.5
6322,Car / Sedan,2,Sedan / jeep / station wagon,opposite,51.5%,268.985,269.635,0.65,27.7
6393,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.0%,270.135,270.685,0.55,32.7
6440,Pickup / Micro Truck,4,Pickup / micro truck / delivery,opposite,77.3%,271.535,272.085,0.55,32.7
6483,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.6%,271.685,272.135,0.45,40.0
6517,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,56.6%,273.235,273.885,0.65,27.7
6538,Car / Sedan,2,Sedan / jeep / station wagon,opposite,52.9%,274.135,274.685,0.55,32.7
6607,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.2%,275.735,276.285,0.55,32.7
6670,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,83.7%,276.985,277.485,0.5,36.0
6662,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,90.9%,277.635,278.185,0.55,32.7
6687,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,79.9%,278.135,278.585,0.45,40.0
6725,Public Transportation (Angkot),3,Medium passenger vehicle,opposite,92.8%,280.834,281.485,0.65,27.7
6822,2-Axle Truck (Jumbo),6,2-Axle Truck,opposite,93.0%,283.734,284.284,0.55,32.7
6858,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.1%,284.434,284.784,0.35,51.4
6886,Bus,5,Bus,opposite,83.6%,285.884,286.384,0.5,36.0
6966,Car / Sedan,2,Sedan / jeep / station wagon,opposite,74.3%,287.834,288.384,0.55,32.7
