track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
6075,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,81.8%,875.452,875.752,0.3,60.0
6084,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.8%,875.902,876.252,0.35,51.4
6091,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.0%,876.252,876.602,0.35,51.4
6096,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,876.502,876.802,0.3,60.0
6135,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.7%,880.301,880.651,0.35,51.4
6141,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.4%,880.951,881.251,0.3,60.0
6153,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.1%,882.401,882.701,0.3,60.0
6155,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.0%,883.501,883.901,0.4,45.0
6156,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.3%,884.601,885.101,0.5,36.0
6160,Car / Sedan,2,Sedan / jeep / station wagon,opposite,89.8%,884.751,885.101,0.35,51.4
6167,Car / Sedan,2,Sedan / jeep / station wagon,opposite,61.9%,885.601,885.851,0.25,72.0
6191,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,886.701,886.901,0.2,90.0
6170,Car / Sedan,2,Sedan / jeep / station wagon,opposite,85.5%,886.801,887.151,0.35,51.4
6193,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.5%,889.101,890.251,1.15,15.7
6227,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,90.1%,891.051,891.351,0.3,60.0
6228,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,891.751,892.051,0.3,60.0
6229,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,92.1%,893.251,893.601,0.35,51.4
6231,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.6%,893.601,893.951,0.35,51.4
6234,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.8%,894.251,894.651,0.4,45.0
6239,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.3%,894.451,894.801,0.35,51.4
6244,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.5%,895.351,895.751,0.4,45.0
6246,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,896.4,896.701,0.3,60.0
