track_id,Detected Type,Class Code,Class Label,Direction,Confidence,line1_time_s,line2_time_s,dt_s,speed_kph
8268,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.0%,775.294,776.344,1.05,17.1
8271,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,85.0%,775.544,776.594,1.05,17.1
8291,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.6%,780.993,782.443,1.45,12.4
8392,2-Axle Truck (Jumbo),6,2-Axle Truck,normal,90.1%,797.142,796.542,0.6,30.0
8599,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.6%,813.591,814.141,0.55,32.7
8802,Car / Sedan,2,Sedan / jeep / station wagon,opposite,90.4%,826.64,827.09,0.45,40.0
8863,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.7%,834.489,835.039,0.55,32.7
9050,Car / Sedan,2,Sedan / jeep / station wagon,normal,75.3%,857.038,856.188,0.85,21.2
9277,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.1%,873.487,874.136,0.65,27.7
9592,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.2%,896.085,896.685,0.6,30.0
9626,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.4%,897.385,897.985,0.6,30.0
9675,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,87.3%,900.335,900.985,0.65,27.7
9771,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,89.1%,904.484,905.234,0.75,24.0
9833,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,82.7%,907.584,908.084,0.5,36.0
9843,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,86.2%,908.184,909.034,0.85,21.2
9834,Public Transportation (Angkot),3,Medium passenger vehicle,normal,42.1%,909.484,908.234,1.25,14.4
9861,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,80.8%,908.734,909.484,0.75,24.0
10027,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,80.9%,928.733,927.183,1.55,11.6
10124,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,88.9%,934.382,935.082,0.7,25.7
10407,Car / Sedan,2,Sedan / jeep / station wagon,opposite,92.9%,959.08,959.58,0.5,36.0
10465,Motorcycle,1,Motorcycle / 3-wheel vehicle,normal,62.1%,966.88,965.13,1.75,10.3
10667,Motorcycle,1,Motorcycle / 3-wheel vehicle,opposite,77.4%,982.229,982.879,0.65,27.7
10682,Car / Sedan,2,Sedan / jeep / station wagon,normal,71.2%,984.629,984.029,0.6,30.0
10910,Car / Sedan,2,Sedan / jeep / station wagon,opposite,88.4%,1008.877,1009.477,0.6,30.0
11006,Car / Sedan,2,Sedan / jeep / station wagon,normal,89.8%,1022.576,1021.876,0.7,25.7
